Height_km.a.v.l,MERPercentile_5,Uncertainty_Lower_5,Uncertainty_Upper_5,MERPercentile_25,Uncertainty_Lower_25,Uncertainty_Upper_25,MERPercentile_50,Uncertainty_Lower_50,Uncertainty_Upper_50,MERPercentile_75,Uncertainty_Lower_75,Uncertainty_Upper_75,MERPercentile_95,Uncertainty_Lower_95,Uncertainty_Upper_95,Best_MER_Estimate_km,Best_MER_Estimate_km_Uncertainty
5,59298.97058557525,54834.818641261685,60095.380949210834,61591.08421427663,61188.46502525179,61971.53533237355,63302.92549705171,62968.82867518549,63627.9745437065,65011.59304500946,64629.165917781145,65434.88452104963,67590.18606765632,66607.56037399356,73348.92087891027,8291.215482081076,13253.539929699436
8,558116.631818962,535593.0673735379,562847.0308798843,571064.6545381388,568801.9569900067,573189.5769138503,580181.3527779526,578473.506582108,581808.4752700956,589117.1420690282,587039.5111135765,591361.0944335829,603169.9548559149,597851.8871225127,625230.5770329159,45053.323036952876,62383.54615303164
